day,p05,p50,p95,mean_path
112,888280.1106938225,1076111.647882925,1295012.5175050115,1082126.2409655103
113,889448.9899345164,1076876.3942504174,1297977.5214320475,1082932.8977141655
114,890071.4277206715,1077151.7810260803,1300373.4451487572,1083842.7799019315
115,889481.2559155555,1077898.7388401604,1301721.9489808138,1084559.9047709152
116,888413.4891763087,1079699.5596372397,1303563.7434113675,1085587.7067022042
117,889925.3432769642,1080104.9385299738,1307898.1012808841,1086303.0626260112
118,890115.7430614965,1080427.2849991526,1310679.8745042407,1087132.9232227409
119,889065.8542949819,1080650.957357916,1310762.129287133,1087784.7651420226
120,888712.2516127172,1081063.7983943552,1315013.1624943204,1088438.7503498306
121,888085.5295078552,1082291.0870092204,1318047.127311099,1089335.741731637
122,889821.9122252581,1082361.3634083392,1318956.4136758335,1090101.2467262598
123,888326.465011878,1083163.8062122199,1321482.263708197,1090769.5743603278
124,888516.2477191805,1084910.2456463808,1323656.3601749847,1091612.4028973647
125,889364.9481119446,1085428.103792448,1324776.3705081667,1092262.1270303403
126,888055.8234290631,1086330.1594565243,1325478.2440351876,1092807.9557008273
127,887695.2490393195,1086857.8336667148,1326359.1998943056,1093443.561506309
128,888498.2053439699,1086554.4981805007,1326777.9618652952,1094123.7057834056
129,887979.6701629114,1086555.0321853748,1330590.7738370502,1094893.9420609754
130,888803.2560348392,1088403.833714697,1333270.5558489512,1095735.0694276893
131,887592.4755714538,1088660.3253601994,1334299.3730839218,1096744.4330057402
132,886669.6458837723,1089289.3360342712,1337226.6099882808,1097723.927892242
133,885853.9492819078,1090614.9179177952,1338531.1136986793,1098731.7221684614
134,886522.6656898988,1091656.770942945,1340929.072625794,1099667.5353699517
135,885016.2318876388,1092311.667070721,1341862.0133922645,1100445.0156979682
136,884983.4067383293,1093789.6588877197,1344782.3999612215,1101166.0815268888
137,885523.8596888392,1092800.4485864998,1345826.0225824811,1101859.11016021
138,885885.3542332093,1094016.7994702365,1348128.274924297,1102600.4011252911
139,884653.1647733848,1094641.316488192,1349561.0236490658,1103132.8776261506
140,885324.4362473094,1094820.567117755,1349738.2066210029,1103791.2407139402
141,885652.3101246133,1095827.3241941482,1352685.821982765,1104499.3828760856
142,884184.8924694625,1097263.9133965434,1356076.694101072,1105241.6301420752
143,883123.1782465747,1096978.4257369698,1355958.4056465826,1105997.554289849
144,883720.5293373491,1097046.5311520523,1359022.2493338576,1106944.3638740038
145,883989.8847720519,1098372.6070883353,1361888.8305195197,1107796.3729430023
146,884681.827405652,1099414.7911336971,1363688.8700752526,1108472.8017785952
147,882751.7698648844,1101386.100207172,1368990.2375721203,1109382.8090629063
148,883031.3552185294,1101612.3687609727,1366371.5442470629,1110200.5990899827
149,883360.155344778,1102310.056878078,1368719.7781515229,1110962.9961553675
150,881810.9680080267,1102954.6032765235,1370764.6375658177,1111890.7635296937
151,881390.2771314014,1103789.0686434216,1373179.9988823305,1112807.4198127075
152,881135.5031179468,1105308.528932144,1375690.5654923853,1113710.4446560196
153,881431.0574851829,1105070.961288501,1375978.671616107,1114651.3095058093
154,880666.6172678041,1105601.9254985536,1379368.9614387082,1115362.893600907
155,881565.0871449375,1106483.5875016958,1381553.8983876528,1116110.2819547437
156,881786.8444452875,1107039.2233342002,1383984.1226762433,1117079.8073375043
157,880726.5411972152,1107599.4408204078,1383609.5630991003,1117697.7865318984
158,881283.7083921462,1108295.1067391708,1386168.8695688986,1118362.3333021214
159,881501.6565744224,1108988.2194777178,1387601.6074933265,1119156.5812830417
160,881470.4099149316,1109903.386366697,1390988.6184516975,1119881.9360326112
161,881357.4121058636,1109735.3670966895,1394686.7300646915,1120626.8801604095
162,882142.7188671668,1110622.0921350308,1394124.8988563765,1121290.6427780702
