Date,ticker,close,asset_name,sector
2021-09-28,AAPL,138.66192626953125,Apple Inc.,Technology
2021-09-29,AAPL,139.56088256835938,Apple Inc.,Technology
2021-09-30,AAPL,138.2613067626953,Apple Inc.,Technology
2021-10-01,AAPL,139.3849639892578,Apple Inc.,Technology
2021-10-04,AAPL,135.95533752441406,Apple Inc.,Technology
2021-10-05,AAPL,137.8802032470703,Apple Inc.,Technology
2021-10-06,AAPL,138.7498779296875,Apple Inc.,Technology
2021-10-07,AAPL,140.0102996826172,Apple Inc.,Technology
2021-10-08,AAPL,139.6292724609375,Apple Inc.,Technology
2021-10-11,AAPL,139.5413055419922,Apple Inc.,Technology
2021-10-12,AAPL,138.27110290527344,Apple Inc.,Technology
2021-10-13,AAPL,137.68482971191406,Apple Inc.,Technology
2021-10-14,AAPL,140.46957397460938,Apple Inc.,Technology
2021-10-15,AAPL,141.52487182617188,Apple Inc.,Technology
2021-10-18,AAPL,143.1957244873047,Apple Inc.,Technology
2021-10-19,AAPL,145.3551483154297,Apple Inc.,Technology
2021-10-20,AAPL,145.84373474121094,Apple Inc.,Technology
2021-10-21,AAPL,146.05868530273438,Apple Inc.,Technology
2021-10-22,AAPL,145.28672790527344,Apple Inc.,Technology
2021-10-25,AAPL,145.23789978027344,Apple Inc.,Technology
2021-10-26,AAPL,145.90232849121094,Apple Inc.,Technology
2021-10-27,AAPL,145.44308471679688,Apple Inc.,Technology
2021-10-28,AAPL,149.07797241210938,Apple Inc.,Technology
2021-10-29,AAPL,146.37132263183594,Apple Inc.,Technology
2021-11-01,AAPL,145.5505828857422,Apple Inc.,Technology
2021-11-02,AAPL,146.58627319335938,Apple Inc.,Technology
2021-11-03,AAPL,148.0226593017578,Apple Inc.,Technology
2021-11-04,AAPL,147.50479125976562,Apple Inc.,Technology
2021-11-05,AAPL,148.033203125,Apple Inc.,Technology
2021-11-08,AAPL,147.21124267578125,Apple Inc.,Technology
2021-11-09,AAPL,147.57325744628906,Apple Inc.,Technology
2021-11-10,AAPL,144.7453155517578,Apple Inc.,Technology
2021-11-11,AAPL,144.69638061523438,Apple Inc.,Technology
2021-11-12,AAPL,146.77088928222656,Apple Inc.,Technology
2021-11-15,AAPL,146.7807159423828,Apple Inc.,Technology
2021-11-16,AAPL,147.75921630859375,Apple Inc.,Technology
2021-11-17,AAPL,150.19578552246094,Apple Inc.,Technology
2021-11-18,AAPL,154.48175048828125,Apple Inc.,Technology
2021-11-19,AAPL,157.1042938232422,Apple Inc.,Technology
2021-11-22,AAPL,157.5641632080078,Apple Inc.,Technology
2021-11-23,AAPL,157.94578552246094,Apple Inc.,Technology
2021-11-24,AAPL,158.4644012451172,Apple Inc.,Technology
2021-11-26,AAPL,153.44448852539062,Apple Inc.,Technology
2021-11-29,AAPL,156.8009033203125,Apple Inc.,Technology
2021-11-30,AAPL,161.75230407714844,Apple Inc.,Technology
2021-12-01,AAPL,161.23365783691406,Apple Inc.,Technology
2021-12-02,AAPL,160.24534606933594,Apple Inc.,Technology
2021-12-03,AAPL,158.3665771484375,Apple Inc.,Technology
2021-12-06,AAPL,161.77188110351562,Apple Inc.,Technology
2021-12-07,AAPL,167.50608825683594,Apple Inc.,Technology
2021-12-08,AAPL,171.32237243652344,Apple Inc.,Technology
2021-12-09,AAPL,170.81356811523438,Apple Inc.,Technology
2021-12-10,AAPL,175.59861755371094,Apple Inc.,Technology
2021-12-13,AAPL,171.96823120117188,Apple Inc.,Technology
2021-12-14,AAPL,170.58847045898438,Apple Inc.,Technology
2021-12-15,AAPL,175.4518280029297,Apple Inc.,Technology
2021-12-16,AAPL,168.56288146972656,Apple Inc.,Technology
2021-12-17,AAPL,167.46694946289062,Apple Inc.,Technology
2021-12-20,AAPL,166.1068115234375,Apple Inc.,Technology
2021-12-21,AAPL,169.2772674560547,Apple Inc.,Technology
2021-12-22,AAPL,171.87039184570312,Apple Inc.,Technology
2021-12-23,AAPL,172.4966278076172,Apple Inc.,Technology
2021-12-27,AAPL,176.45974731445312,Apple Inc.,Technology
2021-12-28,AAPL,175.44204711914062,Apple Inc.,Technology
2021-12-29,AAPL,175.5301055908203,Apple Inc.,Technology
2021-12-30,AAPL,174.37542724609375,Apple Inc.,Technology
2021-12-31,AAPL,173.75897216796875,Apple Inc.,Technology
2022-01-03,AAPL,178.10365295410156,Apple Inc.,Technology
2022-01-04,AAPL,175.84326171875,Apple Inc.,Technology
