Date,AAPL,AMZN,CAT,JNJ,JPM,MSFT,NEE,NVDA,PG,XOM,^GSPC
2021-07-27,104818600,82638000,2472000,7089300,11218700,33604100,7592100,248863000,7075400,16861400,4241950000
2021-07-28,118931200,59988000,3246900,5750700,9217300,33566900,5177500,202191000,8520000,16855300,4215290000
2021-07-29,56699500,110400000,3419700,4214100,9063500,18168300,4141900,190781000,5430500,18607800,4044600000
2021-07-30,70440600,199312000,5834900,5346400,9805200,20944800,5488900,183497000,14394300,28652800,3956740000
2021-08-02,62880000,67078000,3977100,3721500,10203200,16267400,7520700,217444000,7009500,20873800,3724090000
2021-08-03,64786600,83146000,3580500,6033000,10394800,17879000,6249400,301811000,8455700,18208200,3965190000
2021-08-04,56368300,43678000,2948700,4793100,10155000,16191300,8050200,231309000,6628000,20868300,4260760000
2021-08-05,46397700,48670000,2685800,4291000,9151500,13900200,6283700,211435000,5363300,15180200,3769410000
2021-08-06,54126800,52752000,2677100,4581100,13328800,16589300,4634300,178497000,6030100,14888500,3451870000
2021-08-09,48908700,42964000,2747200,3950200,9516900,16117600,5621600,146443000,4743800,17828200,3449280000
2021-08-10,69023100,48252000,4193600,3678300,8667000,18616600,4506800,179238000,5253500,16340200,3886610000
2021-08-11,48493500,58944000,7794100,4221300,9156500,13955900,9419300,185925000,4205000,18278600,3532560000
2021-08-12,72282600,46282000,4444500,4300400,8844200,14561300,6762800,151652000,4956100,19225500,3375310000
2021-08-13,59375000,41134000,2049400,5882100,8980900,18249000,3999500,183063000,4888800,20063000,3016470000
2021-08-16,103296000,66394000,3132500,4782800,8755800,22507600,8579700,210876000,6040800,16959500,3370640000
2021-08-17,92229700,67758000,4022800,6041900,9347200,20075300,5257000,204585000,7577000,16243700,3836960000
2021-08-18,86326000,56086000,2947700,7134100,8065500,21813000,9511700,285913000,7162000,21890500,3755590000
2021-08-19,86960300,75658000,4788100,5615000,9517700,29850500,6968000,766555000,5787200,30923500,4398410000
2021-08-20,60549600,67168000,2765500,5428700,6974100,40817600,7589700,675741000,5273800,16918300,3652610000
2021-08-23,60131800,65362000,2827400,6461700,7934600,22830200,8837100,575807000,4522200,21632600,3576530000
2021-08-24,48606400,51036000,2485900,5734800,7670900,18175800,5786100,297299000,4560400,17915600,3979220000
2021-08-25,58991300,33606000,2599800,5700300,11335000,20006100,5930000,347701000,3861500,13270300,3444700000
2021-08-26,48597200,41976000,2513900,5031600,11027500,17666100,5294000,237940000,4749400,11842600,3263980000
2021-08-27,55802400,48048000,2511400,7046100,8780200,22605700,5974200,304722000,4741200,15822500,3331200000
2021-08-30,90956700,63844000,1922100,3252700,7937600,16348100,6001700,262580000,3845800,14086100,3168660000
2021-08-31,86453100,87128000,2857900,7106800,12340800,26285300,6844000,259850000,9642400,27104100,4290710000
2021-09-01,80313700,72598000,4122900,5327400,8729900,18983800,5862300,201767000,6214200,21644100,4057340000
2021-09-02,71115500,58474000,2921600,4544300,8813300,16285600,5214000,187834000,5392500,23293300,3735990000
2021-09-03,57808700,51514000,2512000,4096900,7959700,14747900,4621100,280532000,5466400,13840000,3217530000
2021-09-07,82278300,54758000,2641100,6859900,9285600,17180400,6791300,198107000,6520600,14354400,3822960000
2021-09-08,74420200,61068000,2603100,4661700,7852700,15046800,6230100,254434000,6897800,18756700,3750880000
2021-09-09,57305700,54384000,2777900,7114600,7904300,19927000,4108300,196856000,6354700,19110800,3735390000
2021-09-10,140893200,47946000,2551200,6699300,8311600,19633400,5508000,248376000,5750000,15123700,3623180000
2021-09-13,102404300,51380000,2699100,6273500,10052800,23652900,6498800,297500000,9952500,22052300,3914220000
